step,tasks_completed_total,total_movement_cost,deadlock_count,last_step_cpu_ms,total_cpu_ms,last_planning_ms,total_planning_ms,algo_nodes_expanded_last,algo_heap_moves_last,algo_generated_nodes_last,algo_valid_expansions_last,requests_created_total,request_wait_ticks_sum,case,map_id,path_algo,path_algo_label,mode,mode_label,active_agents,tasks_completed_delta,movement_delta,deadlock_delta,cpu_delta_ms,planning_delta_ms,requests_created_delta,request_wait_ticks_delta,movement_delta_rolling_avg,cpu_delta_ms_rolling_avg,planning_delta_ms_rolling_avg,deadlock_delta_rolling_avg,nodes_expanded_rolling_avg,zero_progress_flag,zero_progress_streak,deadlock_spike_flag,planning_spike_flag,cpu_spike_flag,nodes_expanded_spike_flag
1,0,3.0,0,18.0,18.0,18.0,18.0,31,107,75,31,0,0,case_default,1,0,default,0,custom,3,0.0,3.0,0.0,18.0,18.0,0.0,0.0,3.0,18.0,18.0,0.0,31.0,False,0,False,True,False,True
2,0,6.0,0,0.0,18.0,0.0,18.0,0,0,0,0,0,0,case_default,1,0,default,0,custom,3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,9.0,0.0,15.5,False,0,False,False,False,False
3,0,8.0,0,0.0,18.0,0.0,18.0,0,0,0,0,0,0,case_default,1,0,default,0,custom,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,6.0,6.0,0.0,10.333333333333334,False,0,False,False,False,False
4,0,9.0,0,0.0,18.0,0.0,18.0,0,0,0,0,0,0,case_default,1,0,default,0,custom,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.25,4.5,4.5,0.0,7.75,False,0,False,False,False,False
5,0,10.0,0,0.0,18.0,0.0,18.0,0,0,0,0,0,0,case_default,1,0,default,0,custom,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.6,3.6,0.0,6.2,False,0,False,False,False,False
6,0,12.0,0,0.0,18.0,0.0,18.0,0,0,0,0,0,0,case_default,1,0,default,0,custom,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,False,0,False,False,False,False
7,0,14.0,0,0.0,18.0,0.0,18.0,0,0,0,0,0,0,case_default,1,0,default,0,custom,3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,False,0,False,False,False,False
8,0,15.0,0,0.0,18.0,0.0,18.0,0,0,0,0,0,0,case_default,1,0,default,0,custom,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,False,0,False,False,False,False
9,0,15.0,1,0.0,18.0,0.0,18.0,0,0,0,0,0,0,case_default,1,0,default,0,custom,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.2,0.0,True,1,True,False,False,False
10,0,15.0,2,0.0,18.0,0.0,18.0,0,0,0,0,0,0,case_default,1,0,default,0,custom,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4,0.0,True,2,True,False,False,False
11,0,16.0,2,0.0,18.0,0.0,18.0,0,0,0,0,0,0,case_default,1,0,default,0,custom,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.4,0.0,False,0,False,False,False,False
